data_period,store_id,store_name,region,city,store_format,monthly_footfall,total_transactions,revenue_inr_thousand,avg_basket_size_inr,loyalty_transactions,loyalty_sales_contribution_pct,pickup_orders,pickup_fulfillment_rate_pct,online_sales_pct,fresh_wastage_pct,stockout_incidents,on_shelf_availability_pct,avg_days_to_expiry_fresh_produce,avg_checkout_wait_min,customer_complaints,avg_customer_rating,staff_utilisation_pct,top_revenue_category,top_category_revenue_pct
2025-07,STR_001,FreshLane Delhi Superstore 1,North,Delhi,Superstore,8790,6497,1831.8,306.14,2768,31.8,319,94.3,15.3,6.9,10,88.9,1.9,5.5,29,4.21,83,Pet Supplies,18.2
2025-08,STR_001,FreshLane Delhi Superstore 1,North,Delhi,Superstore,9520,6977,2070.9,506.07,2754,41.2,112,82.4,40.7,8.54,6,95.7,2.9,2.8,28,3.63,70.3,Bakery,15.7
2024-01,STR_002,FreshLane Chandigarh Superstore 1,North,Chandigarh,Superstore,9284,6681,2019.3,948.41,3300,46.4,0,0,0,5.33,9,90.7,2.8,7.2,29,3.42,65.8,Baby & Kids,8.6
2024-02,STR_002,FreshLane Chandigarh Superstore 1,North,Chandigarh,Superstore,8864,5841,2391,772.56,1952,42.7,0,0,0,5.75,2,89.9,3,4.5,27,4.32,83,Dairy & Eggs,8.6
2024-03,STR_002,FreshLane Chandigarh Superstore 1,North,Chandigarh,Superstore,9778,7304,2387,632.2,3875,32.9,0,0,0,2.64,14,95.1,1.9,5.9,33,4.81,81,Baby & Kids,13.4
2024-04,STR_002,FreshLane Chandigarh Superstore 1,North,Chandigarh,Superstore,10417,7985,2356.5,661.93,3474,56.8,0,0,0,9.07,9,90.2,2,2.3,25,3.43,65.1,Bakery,17.6
2024-05,STR_002,FreshLane Chandigarh Superstore 1,North,Chandigarh,Superstore,9581,5320,2313.5,871.41,3112,36.5,0,0,0,3.01,13,95.7,3.5,8.1,15,4.5,88.5,Fresh Produce,11.9
2024-06,STR_002,FreshLane Chandigarh Superstore 1,North,Chandigarh,Superstore,9366,7285,2419.8,844.78,3237,39.2,0,0,0,8.08,12,91.7,4.3,7.9,7,4.04,86.8,Household Cleaning,18.6
2024-07,STR_002,FreshLane Chandigarh Superstore 1,North,Chandigarh,Superstore,9152,6773,2463.9,633.68,2790,54.9,0,0,0,5.1,27,88.1,4.2,2.2,10,3.88,93.4,Frozen Foods,21.3
2024-08,STR_002,FreshLane Chandigarh Superstore 1,North,Chandigarh,Superstore,10095,6233,2389.7,593.91,2586,48.2,0,0,0,7.89,3,96.7,3.9,2.2,19,4.14,63.9,International Foods,15.7
2024-09,STR_002,FreshLane Chandigarh Superstore 1,North,Chandigarh,Superstore,10394,5996,2638.2,525.64,2098,50.8,0,0,0,6.86,24,89.1,2,6.8,9,3.51,89.1,International Foods,17.9
2024-10,STR_002,FreshLane Chandigarh Superstore 1,North,Chandigarh,Superstore,10749,6837,2465.2,970.65,2938,52.4,0,0,0,9.39,16,98.8,3.8,4.3,40,3.53,87.6,Fresh Produce,15.8
2024-11,STR_002,FreshLane Chandigarh Superstore 1,North,Chandigarh,Superstore,11991,7953,3062.6,357.84,2417,42.1,0,0,0,2.53,4,89.3,2.1,6.4,2,4.52,81.3,Cooking Essentials,21.5
2024-12,STR_002,FreshLane Chandigarh Superstore 1,North,Chandigarh,Superstore,12299,7396,2802.9,888.02,4712,28.4,0,0,0,9.57,8,88.5,4.2,5.5,10,4.89,64.4,Seasonal & Festive,15.8
2025-01,STR_002,FreshLane Chandigarh Superstore 1,North,Chandigarh,Superstore,10316,7324,2249.4,720.58,3362,46.8,0,0,0,6.6,25,97.9,1.9,3.6,39,4.83,91.4,Pet Supplies,14.4
2025-02,STR_002,FreshLane Chandigarh Superstore 1,North,Chandigarh,Superstore,10336,6787,2260.9,411.68,2875,45.5,0,0,0,2.7,15,98.7,4.5,6.7,8,4.2,72.2,Personal Care,19.4
2025-03,STR_002,FreshLane Chandigarh Superstore 1,North,Chandigarh,Superstore,10889,8048,2301.5,917.65,5089,49.8,0,0,0,6.82,9,92.6,4.3,8,20,3.47,62.9,Meat & Seafood,13.3
2025-04,STR_002,FreshLane Chandigarh Superstore 1,North,Chandigarh,Superstore,11331,7780,2764.4,385.29,3371,57.1,0,0,0,8.58,3,97.2,3.1,4.6,16,3.81,63.9,Ready to Eat,20.1
2025-05,STR_002,FreshLane Chandigarh Superstore 1,North,Chandigarh,Superstore,11450,7760,2798.7,977.65,4416,56.3,0,0,0,8.64,22,90.7,3,2.5,40,4.83,82,Organic & Natural,11.2
2025-06,STR_002,FreshLane Chandigarh Superstore 1,North,Chandigarh,Superstore,10755,6196,2500.3,530.71,3315,43.6,0,0,0,8.05,4,93.7,4.1,5.6,8,4.24,90.9,International Foods,13.6
2025-07,STR_002,FreshLane Chandigarh Superstore 1,North,Chandigarh,Superstore,9752,6754,2189.4,808.6,3690,34.4,0,0,0,3.15,21,88.2,2.7,5.9,35,3.99,76.4,Fresh Produce,20.7
2025-08,STR_002,FreshLane Chandigarh Superstore 1,North,Chandigarh,Superstore,10320,6617,2475,828.56,3425,53.9,0,0,0,9.41,22,89.6,4.3,5.2,33,3.79,77.2,Staples & Grains,21.7
2024-01,STR_003,FreshLane Lucknow Hypermarket 1,North,Lucknow,Hypermarket,15728,8924,3874.1,448.1,3079,31.8,142,84.2,29.8,3.5,24,91.8,4.2,5.1,10,4.4,67.7,Personal Care,10.7
2024-02,STR_003,FreshLane Lucknow Hypermarket 1,North,Lucknow,Hypermarket,15835,9353,3723.7,475.01,3096,31.6,303,85.3,20.4,5.98,15,95.6,1.9,7.5,1,4.34,64.7,Baby & Kids,20.2
2024-03,STR_003,FreshLane Lucknow Hypermarket 1,North,Lucknow,Hypermarket,19025,13991,3794.2,473.81,7861,33.5,187,87.9,24.5,6.86,9,92.1,3,7.1,37,3.46,70.3,Ready to Eat,18
2024-04,STR_003,FreshLane Lucknow Hypermarket 1,North,Lucknow,Hypermarket,19343,11115,4255,652.48,5075,44,208,86.3,20.8,2.25,7,91.5,2.4,4,43,3.58,91.4,Bakery,16.3
2024-05,STR_003,FreshLane Lucknow Hypermarket 1,North,Lucknow,Hypermarket,18903,10774,4535.9,628.91,5257,45.6,477,88.9,12.3,4.29,18,92,3.5,5.8,24,3.93,94.6,Bakery,16.5
2024-06,STR_003,FreshLane Lucknow Hypermarket 1,North,Lucknow,Hypermarket,16900,10251,3788.6,387,3651,33.6,223,84.8,38.5,2.72,18,93.8,2.9,8.9,35,3.57,75.1,Pet Supplies,21.6
2024-07,STR_003,FreshLane Lucknow Hypermarket 1,North,Lucknow,Hypermarket,18479,10889,4331.9,460.53,5814,55.9,358,91.1,17.5,8.03,27,90.1,2.7,4.7,33,4.16,70,Seasonal & Festive,9.6
2024-08,STR_003,FreshLane Lucknow Hypermarket 1,North,Lucknow,Hypermarket,18141,10621,3983.5,686.87,4974,44,105,87.4,12.6,2.59,2,98.9,2.7,7.6,25,3.78,84.5,International Foods,18.6
2024-09,STR_003,FreshLane Lucknow Hypermarket 1,North,Lucknow,Hypermarket,19031,11994,4348.8,568.29,7500,52.9,605,84,32.8,9.33,3,90,2,7.1,41,4.26,89.8,Health & Wellness,10
2024-10,STR_003,FreshLane Lucknow Hypermarket 1,North,Lucknow,Hypermarket,21554,12669,4515.9,394.56,7412,48,402,87.7,37.8,5.12,13,97,3,4.3,17,4.09,71.9,Fresh Produce,18.5
2024-11,STR_003,FreshLane Lucknow Hypermarket 1,North,Lucknow,Hypermarket,21694,13847,4788.8,909.7,6788,55.2,487,83.9,40,6.93,13,91.7,2.2,7.5,5,4.33,79.6,Baby & Kids,20.5
2024-12,STR_003,FreshLane Lucknow Hypermarket 1,North,Lucknow,Hypermarket,23455,14240,4866.9,498.21,7979,29,468,94.2,37.8,4.73,9,97,2.1,7.8,43,3.59,75.1,Meat & Seafood,19.2
2025-01,STR_003,FreshLane Lucknow Hypermarket 1,North,Lucknow,Hypermarket,16181,11579,3783.2,785.58,6072,48.8,325,86,19.8,3.5,26,98,3.4,4.5,38,4.09,93.3,Household Cleaning,10.1
2025-02,STR_003,FreshLane Lucknow Hypermarket 1,North,Lucknow,Hypermarket,18365,10177,4232,708.02,6159,56,354,93.1,39.4,7.55,6,89.7,3.4,6.1,3,4.04,86.3,Baby & Kids,21.1
2025-03,STR_003,FreshLane Lucknow Hypermarket 1,North,Lucknow,Hypermarket,20181,15670,4365.5,359.27,9301,31.7,553,95.9,25.6,6.65,19,92.4,1.9,4,22,4.6,62.2,Beverages,12.7
2025-04,STR_003,FreshLane Lucknow Hypermarket 1,North,Lucknow,Hypermarket,18970,11944,4533.4,923.9,5033,50.1,318,85.6,23.4,3.18,28,89.9,3.1,4.6,44,4.77,74,Organic & Natural,16.1
2025-05,STR_003,FreshLane Lucknow Hypermarket 1,North,Lucknow,Hypermarket,19891,11754,4102.6,744.48,7479,32.5,301,83.4,41.9,5.97,24,94.5,2,7.1,31,3.71,91.6,Beverages,10.9
2025-06,STR_003,FreshLane Lucknow Hypermarket 1,North,Lucknow,Hypermarket,17774,12084,3959,610.45,3903,51.3,309,90.4,23,5.19,27,94.2,2.2,2.9,9,4.69,93.2,Bakery,13.2
2025-07,STR_003,FreshLane Lucknow Hypermarket 1,North,Lucknow,Hypermarket,17826,9908,4442.3,566.11,3513,49.5,409,82.4,15.5,3.88,24,95.4,1.9,2.3,30,4.6,67.9,Dairy & Eggs,17.1
2025-08,STR_003,FreshLane Lucknow Hypermarket 1,North,Lucknow,Hypermarket,18103,12963,4055.7,450.22,7771,52.9,283,92.7,15,4.36,11,97.9,1.8,2.1,13,3.71,62.9,Dairy & Eggs,10.5
2024-01,STR_004,FreshLane Jaipur Express 1,North,Jaipur,Express,2325,1461,487.8,852.21,570,39.4,364,86.3,29.2,5.25,27,94.1,3,3.7,13,4.82,87.2,Dairy & Eggs,10
2024-02,STR_004,FreshLane Jaipur Express 1,North,Jaipur,Express,2636,1934,476.7,906.19,868,28.7,218,90.7,29.5,4.09,12,89.5,4.1,8.9,20,4.19,67.7,Pet Supplies,11.8
2024-03,STR_004,FreshLane Jaipur Express 1,North,Jaipur,Express,2396,1635,539.8,362.43,647,44.6,434,95.3,15,2.18,14,89.5,4.2,8.1,35,4.3,81.8,International Foods,17.3
2024-04,STR_004,FreshLane Jaipur Express 1,North,Jaipur,Express,2512,1602,551,573.14,771,29.4,176,93.8,10.8,6.74,10,90.7,2.9,3.7,3,3.93,85.7,Snacks & Confectionery,12.2
2024-05,STR_004,FreshLane Jaipur Express 1,North,Jaipur,Express,2705,2070,511.5,744.57,1151,34.4,103,86.2,28.2,2.5,11,93.5,3.4,4,23,4.56,65.5,Dairy & Eggs,9.1
2024-06,STR_004,FreshLane Jaipur Express 1,North,Jaipur,Express,2663,1730,492.9,761.88,668,52.6,509,93.1,17.3,6.64,22,92,2,8.4,22,3.61,93.4,Cooking Essentials,14.2
2024-07,STR_004,FreshLane Jaipur Express 1,North,Jaipur,Express,2414,1734,492.3,891.06,1009,47.8,447,95.6,16.5,5.87,5,90.4,4.5,8.6,24,3.46,85.3,Ready to Eat,21
2024-08,STR_004,FreshLane Jaipur Express 1,North,Jaipur,Express,2463,1373,505.3,920.84,747,36.9,582,97.5,40.1,5.75,14,97.5,4.1,3.9,29,4.64,63.2,Health & Wellness,16.3
2024-09,STR_004,FreshLane Jaipur Express 1,North,Jaipur,Express,2612,1854,484.4,333.87,776,49.7,124,87,26.3,8.19,12,91.5,3.5,8.1,12,4.32,69.7,International Foods,8.3
2024-10,STR_004,FreshLane Jaipur Express 1,North,Jaipur,Express,3175,2132,520.5,892.29,1340,52,718,87.6,34.1,5.19,24,93.3,3.5,8.1,32,4.88,87.4,Baby & Kids,13.8
2024-11,STR_004,FreshLane Jaipur Express 1,North,Jaipur,Express,3118,1794,635.2,447.14,760,36.6,295,85.7,9.4,2.24,27,98.9,3,4.4,34,4.42,69.2,Cooking Essentials,21.3
2024-12,STR_004,FreshLane Jaipur Express 1,North,Jaipur,Express,3415,2568,575.5,572.31,1619,42,521,84.7,41.7,3.88,27,98.4,3.6,6.1,6,4.17,69.6,Ready to Eat,10.5
2025-01,STR_004,FreshLane Jaipur Express 1,North,Jaipur,Express,2385,1503,449.3,825.71,481,57.1,508,96.8,41.8,3.44,4,92.4,3.8,6.7,28,3.63,88.9,Beverages,11.1
2025-02,STR_004,FreshLane Jaipur Express 1,North,Jaipur,Express,2522,1723,510.4,695.06,572,54.3,217,84.1,38.2,9.46,19,97.5,4,6.4,19,4.23,64.9,Household Cleaning,13.7
2025-03,STR_004,FreshLane Jaipur Express 1,North,Jaipur,Express,2696,1790,503,786.39,587,34.6,452,83.2,36.9,5.91,5,93.3,3.4,7.7,6,3.92,84.4,Household Cleaning,15.9
2025-04,STR_004,FreshLane Jaipur Express 1,North,Jaipur,Express,2704,1896,580.2,838.2,1133,54,475,95.4,31.7,7.34,23,94.8,3.8,2.7,19,4.72,90.8,Personal Care,8.4
2025-05,STR_004,FreshLane Jaipur Express 1,North,Jaipur,Express,2985,2152,504.3,514.58,766,52.5,548,90.1,8.2,4.31,16,94.8,4.4,6.2,39,3.79,82.9,Ready to Eat,15.6
2025-06,STR_004,FreshLane Jaipur Express 1,North,Jaipur,Express,2845,1918,481.9,812.72,1221,38.3,420,96.9,11.5,9.32,7,95.6,2,3.8,45,4.46,64.2,Organic & Natural,16.2
2025-07,STR_004,FreshLane Jaipur Express 1,North,Jaipur,Express,2628,1972,530,312.02,1263,57.1,477,84.1,33.8,2.29,13,88.2,2.7,5.2,29,4.56,84.5,Dairy & Eggs,14.2
2025-08,STR_004,FreshLane Jaipur Express 1,North,Jaipur,Express,2652,1733,581,578.33,619,51.8,457,85.5,10.8,7.34,25,95.2,2.5,8.6,23,3.63,76.3,Ready to Eat,21.2
2024-01,STR_005,FreshLane Delhi Express 2,North,Delhi,Express,2205,1711,405.8,471.95,758,54.8,172,85.4,9.1,7.12,10,92.1,4.1,5,41,4.85,68.1,Dairy & Eggs,20.2
2024-02,STR_005,FreshLane Delhi Express 2,North,Delhi,Express,2381,1726,461.6,871.35,896,31.9,88,96.7,29,8.23,4,93.3,2.1,2.4,43,4.43,76.2,Health & Wellness,10.8
2024-03,STR_005,FreshLane Delhi Express 2,North,Delhi,Express,2375,1453,416.9,687.38,841,37.3,301,82.2,10.5,5.12,13,93.3,3.4,3.7,33,4.44,90.4,Beverages,18.9
2024-04,STR_005,FreshLane Delhi Express 2,North,Delhi,Express,2248,1361,464.3,353.45,878,32.3,329,91.9,31.9,6.41,2,88.1,2.7,5.4,10,3.53,73.6,Organic & Natural,8.5
2024-05,STR_005,FreshLane Delhi Express 2,North,Delhi,Express,2286,1555,461.1,372.9,841,52,180,84.7,11.6,7,3,95.8,1.9,8.5,9,3.48,79.9,Bakery,17.9
2024-06,STR_005,FreshLane Delhi Express 2,North,Delhi,Express,2493,1565,471.3,841.21,915,30.4,513,90.8,35.8,5.58,9,95.1,3.2,7,42,3.52,64,Baby & Kids,11.5
2024-07,STR_005,FreshLane Delhi Express 2,North,Delhi,Express,2202,1705,480.5,433.45,712,33.5,457,92.5,24.9,6.38,13,95.9,2.4,9,25,4.86,83.5,Dairy & Eggs,10.8
2024-08,STR_005,FreshLane Delhi Express 2,North,Delhi,Express,2447,1490,417.6,301.46,688,54,435,93.9,22.5,4.76,21,92.1,4.5,1.8,10,4.7,81.1,Organic & Natural,14.1
2024-09,STR_005,FreshLane Delhi Express 2,North,Delhi,Express,2591,1961,478.9,891.4,877,36.3,388,96.6,15.2,6.9,13,94.9,3.8,2.5,24,4.47,92,Organic & Natural,10.5
2024-10,STR_005,FreshLane Delhi Express 2,North,Delhi,Express,2631,1964,577,406.68,927,35.4,585,89.1,25.5,4.87,26,94.5,2.2,4.4,5,4.85,70.5,Frozen Foods,17.2
2024-11,STR_005,FreshLane Delhi Express 2,North,Delhi,Express,2812,2173,585.9,371.61,997,35.1,136,84.7,25.7,4.69,18,97.1,3,3.4,24,4.33,85.3,Health & Wellness,10.3
2024-12,STR_005,FreshLane Delhi Express 2,North,Delhi,Express,2832,1989,521.2,795.48,927,53.3,597,91.4,37.5,3.68,12,89.2,2.5,1.9,42,4.2,92.9,Cooking Essentials,8.6
2025-01,STR_005,FreshLane Delhi Express 2,North,Delhi,Express,2149,1338,435,933.71,638,29.2,135,97.8,40.8,2.14,9,98.5,3.5,8,8,4.08,79,Fresh Produce,14.8
2025-02,STR_005,FreshLane Delhi Express 2,North,Delhi,Express,2481,1540,430.7,300.98,841,34.1,392,97.5,11.2,7.28,25,92.9,4.1,2.8,12,4.44,89.7,International Foods,21.2
2025-03,STR_005,FreshLane Delhi Express 2,North,Delhi,Express,2595,1945,483.8,712.49,971,28.9,536,93,31,3.76,18,95.2,2.9,6.4,25,3.56,83.7,Seasonal & Festive,22
2025-04,STR_005,FreshLane Delhi Express 2,North,Delhi,Express,2387,1790,541.2,564.84,1027,45,450,96.1,21.7,4.62,5,95.3,4,7.2,17,4.6,76.4,Cooking Essentials,19.4
2025-05,STR_005,FreshLane Delhi Express 2,North,Delhi,Express,2441,1524,503.5,284.03,652,39.9,433,88.2,23.3,3.93,24,92.1,2.4,2,29,4.31,84.1,Snacks & Confectionery,16.7
2025-06,STR_005,FreshLane Delhi Express 2,North,Delhi,Express,2480,1660,467.6,884.33,776,28.8,242,88.1,21.6,6.57,21,93.9,3.4,7.2,19,4.62,85.7,International Foods,21.4
2025-07,STR_005,FreshLane Delhi Express 2,North,Delhi,Express,2278,1592,445.3,285.29,977,35.3,523,83,39.8,4.81,8,89.1,3.1,3.4,8,3.83,72.1,Frozen Foods,19.2
2025-08,STR_005,FreshLane Delhi Express 2,North,Delhi,Express,2537,1813,465.8,707.23,716,40.4,136,84.9,31.2,3.5,4,93.8,3.7,2.3,29,4.25,70.5,Beverages,21.5
2024-01,STR_006,FreshLane Chandigarh Express 2,North,Chandigarh,Express,2344,1630,433.4,310.39,1031,46,0,0,0,8.41,24,97.7,2.4,3.1,29,4.32,75.6,Bakery,19.8
2024-02,STR_006,FreshLane Chandigarh Express 2,North,Chandigarh,Express,2513,1833,440.2,445.81,726,52.7,0,0,0,5.36,27,95.3,2.1,6.2,44,4.08,81.4,Household Cleaning,10.4
2024-03,STR_006,FreshLane Chandigarh Express 2,North,Chandigarh,Express,2557,1462,507.3,431.72,450,47.3,0,0,0,6.77,23,94,2.4,4.4,23,4.29,78.4,Bakery,21.8
2024-04,STR_006,FreshLane Chandigarh Express 2,North,Chandigarh,Express,2368,1535,501.6,563.02,846,48.8,0,0,0,9.73,19,89.4,2.1,6.9,35,4.27,71,Personal Care,9.1
2024-05,STR_006,FreshLane Chandigarh Express 2,North,Chandigarh,Express,2371,1480,526.1,414.31,561,38.6,0,0,0,2.63,11,93.7,2,7.5,11,3.75,79.8,Beverages,20.3
2024-06,STR_006,FreshLane Chandigarh Express 2,North,Chandigarh,Express,2497,1564,471.2,507.03,835,57.8,0,0,0,7.2,27,94.1,3.8,5,24,3.49,80.6,Pet Supplies,21.4
2024-07,STR_006,FreshLane Chandigarh Express 2,North,Chandigarh,Express,2287,1539,480.9,420.65,513,41.5,0,0,0,7.92,9,91.8,3.6,7.5,8,4.79,69.7,Snacks & Confectionery,13.6
2024-08,STR_006,FreshLane Chandigarh Express 2,North,Chandigarh,Express,2326,1568,519.6,928.9,932,43.6,0,0,0,6.9,27,89,3.8,2.5,9,4.64,87.8,Staples & Grains,17.9
2024-09,STR_006,FreshLane Chandigarh Express 2,North,Chandigarh,Express,2398,1517,477.8,464.18,501,56.1,0,0,0,6.36,27,91.4,2.9,4.9,32,4.3,79,Fresh Produce,20.9
2024-10,STR_006,FreshLane Chandigarh Express 2,North,Chandigarh,Express,2843,1699,599.9,876,1063,31.5,0,0,0,8.39,13,92.2,4.2,8,36,4.61,88.1,Baby & Kids,12.3
2024-11,STR_006,FreshLane Chandigarh Express 2,North,Chandigarh,Express,2796,1984,564.3,401.47,835,57.3,0,0,0,7.04,16,97,2.2,8,36,4.78,78.1,Frozen Foods,16.5
2024-12,STR_006,FreshLane Chandigarh Express 2,North,Chandigarh,Express,3229,2072,556.3,631.8,727,39,0,0,0,2.62,21,88.3,2.2,8.7,6,4.22,93.9,Bakery,14.1
2025-01,STR_006,FreshLane Chandigarh Express 2,North,Chandigarh,Express,2297,1319,455.4,587.66,691,34.5,0,0,0,6.87,11,95.2,2.2,2,26,4.57,77.2,International Foods,8.8
2025-02,STR_006,FreshLane Chandigarh Express 2,North,Chandigarh,Express,2702,2097,438.2,766.52,804,32.3,0,0,0,3.03,18,91.3,2.1,6.7,27,3.49,78.8,Ready to Eat,22
2025-03,STR_006,FreshLane Chandigarh Express 2,North,Chandigarh,Express,2742,1901,513,494.38,920,40.8,0,0,0,3.11,28,97.8,3,3,37,3.95,75.7,Bakery,19.6
2025-04,STR_006,FreshLane Chandigarh Express 2,North,Chandigarh,Express,2764,1784,539.3,287.72,835,28.6,0,0,0,4.1,6,96.4,2.2,5.5,21,3.72,62.4,Bakery,11.4
2025-05,STR_006,FreshLane Chandigarh Express 2,North,Chandigarh,Express,2897,1918,548.1,951.7,649,44.4,0,0,0,5.6,16,97.3,2.1,5.2,30,3.63,72.7,Pet Supplies,18.3
2025-06,STR_006,FreshLane Chandigarh Express 2,North,Chandigarh,Express,2574,1687,483.9,556.13,969,54.8,0,0,0,9.46,13,96.7,2.7,6.7,9,4.06,70.4,Seasonal & Festive,19.8
2025-07,STR_006,FreshLane Chandigarh Express 2,North,Chandigarh,Express,2368,1649,530.5,603.03,875,54.9,0,0,0,7,22,94.8,2,5.4,38,3.63,86.3,Beverages,15.2
2025-08,STR_006,FreshLane Chandigarh Express 2,North,Chandigarh,Express,2686,1919,455.4,339.35,624,30.1,0,0,0,2.19,26,98.5,3.8,4.1,9,3.84,73.5,Ready to Eat,18.8
2024-01,STR_007,FreshLane Lucknow Superstore 2,North,Lucknow,Superstore,8376,5878,1924.1,348.88,3335,36,0,0,0,2.26,18,88.9,4.4,3.7,4,4.55,82.6,Meat & Seafood,13.3
2024-02,STR_007,FreshLane Lucknow Superstore 2,North,Lucknow,Superstore,8883,6468,2010.5,710.51,3398,43.9,0,0,0,2.42,18,98.7,4,3.7,10,4.87,81.9,Personal Care,16.2
2024-03,STR_007,FreshLane Lucknow Superstore 2,North,Lucknow,Superstore,10108,5857,2410.2,739.54,2450,55.8,0,0,0,3.83,7,92.1,3,4.8,11,4.32,93.1,Household Cleaning,11.4
2024-04,STR_007,FreshLane Lucknow Superstore 2,North,Lucknow,Superstore,9322,6511,2175.4,900.85,2604,52.5,0,0,0,8.73,24,97.3,4.3,3.4,15,4.53,77.2,Baby & Kids,19.8
2024-05,STR_007,FreshLane Lucknow Superstore 2,North,Lucknow,Superstore,10390,6138,2468.2,739.31,3012,57.5,0,0,0,9.32,18,88.5,2.2,2.5,19,4.49,89,Bakery,11
2024-06,STR_007,FreshLane Lucknow Superstore 2,North,Lucknow,Superstore,9631,6498,2398.3,792.96,3292,43.3,0,0,0,4.39,10,94.2,3.7,8,13,4.35,87.1,Seasonal & Festive,10.2
2024-07,STR_007,FreshLane Lucknow Superstore 2,North,Lucknow,Superstore,9464,6786,2003.9,452.68,4391,31,0,0,0,5.19,10,96.8,2.4,5.7,9,4.5,82.3,Personal Care,10.6
